waktu,filtering,tweets,polarity_score,polarity
2022-04-01 07:36:43,"['karanganyar', 'jumat', 'april', 'serda', 'eko', 'santoso', 'anggota', 'koramil', 'jumantono', 'polsek', 'jumantono', 'melaksan']",karanganyar jumat april serda eko santoso anggota koramil jumantono polsek jumantono melaksan,-1,0
2022-04-01 07:36:32,"['ppkm', 'level', 'kota', 'pekanbaru', 'zona', 'kuning', 'tular', 'covid']",ppkm level kota pekanbaru zona kuning tular covid,-9,0
2022-04-01 07:24:13,"['ppkm', 'longgar', '']",ppkm longgar ,3,1
2022-04-01 07:21:48,"['ppkm', 'aspirasi']",ppkm aspirasi,0,1
2022-04-01 07:19:50,"['karanganyar', 'jumat', 'april', 'serda', 'didik', 'anggota', 'koramil', 'jumantono', 'polsek', 'jumantono', 'laksana']",karanganyar jumat april serda didik anggota koramil jumantono polsek jumantono laksana,-1,0
2022-04-01 07:13:55,"['buru', 'ganti', 'level', 'ppkm', 'biar', 'anak', 'pakai', 'baju', 'sekolah', 'kumpul', 'teman', 'sekolahny']",buru ganti level ppkm biar anak pakai baju sekolah kumpul teman sekolahny,3,1
2022-04-01 07:10:05,"['iya', 'april', 'lin', 'ppn', 'copid', 'status', 'ppkm', 'gaji', 'mustahil']",iya april lin ppn copid status ppkm gaji mustahil,1,1
2022-04-01 07:09:19,"['pkl', 'wib', 'sd', 'selesai', 'anggota', 'koramil', 'karangmalang', 'rutin', 'laksana', 'giat', 'patroli', 'rangka', 'laksana', '']",pkl wib sd selesai anggota koramil karangmalang rutin laksana giat patroli rangka laksana ,1,1
2022-04-01 07:08:10,"['anggota', 'koramil', 'tanon', 'laksana', 'giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'iii', 'batas', 'mobilitas']",anggota koramil tanon laksana giat patroli rangka laksana ppkm level iii batas mobilitas,-4,0
2022-04-01 07:06:50,"['lengkap', 'misi', 'adu', 'domba', 'oknum', 'jabat', 'buzzer', 'sulit', 'eko']",lengkap misi adu domba oknum jabat buzzer sulit eko,-10,0
2022-04-01 07:02:05,"['masyarakat', 'gelar', 'padusan', 'pemkab', 'boyolali', 'sesuai', 'ppkm', 'level', '']",masyarakat gelar padusan pemkab boyolali sesuai ppkm level ,5,1
